Job-Title,Company Name,Segmentation,Skills they are looking for,Date Posted
Business Development Manager,Nisarga Information Technology Solutions Pvt Ltd,Information Technology,"['Communication', 'SkillsSalesBusiness', 'Development', 'Management']",19 Days Ago
Information Technology,TERRA TECHNOLOGY,Information Technology,"['UnixService', 'managementglobal', 'operationsLinuxAnalyticalWindowsCustomer', 'serviceInformation', 'technology']",30+ Days Ago
Information Technology,TERRA TECHNOLOGY,Information Technology,"['UnixService', 'managementglobal', 'operationsData', 'center', 'operationsLinuxAnalyticalWindowsCustomer', 'service']",30+ Days Ago
Relationship Manager || IT Product Sales Exp. (1-4 Yrs.),Stellar Information Technology Private Limited,Information Technology,"['CRM', 'SalesIt', 'Product', 'SalesB2B', 'SalesHardware', 'SalesIT', 'SalesIT', 'Hardware', 'SalesCloud', 'SalesWebsite', 'Sales']",25 Days Ago
Technology Management- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Technology Management- Assistant Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Technology Management- Associate Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Technology Management- Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Area Business Manager/Project Manager,Times World Information Technology,Information Technology,"['Area', 'Business', 'Manager/Project', 'Manager']",30+ Days Ago
"Opening For Appian Developer/L1 or L2 MUST--Bangalore, Hyderabad, Pune",Overseas Information Technology,Information Technology,"['appianL1L2level', '2']",30+ Days Ago
Urgent Opening For Appian Developer /senior Developer/ Certification,Overseas Information Technology,Information Technology,"['Client', 'CommunicationAgileScrumProcess', 'DesignJIRALeadership', 'Skills']",30+ Days Ago
Urgent Opening For Appian Developer / Senior Developer/ L1 or L2 MUST,Overseas Information Technology,Information Technology,"['Client', 'CommunicationAgileScrumProcess', 'DesignJIRALeadership', 'Skills']",30+ Days Ago
Urgent Opening with our Client For Appian,Overseas Information Technology,Information Technology,"['Client', 'CommunicationAgileScrumProcess', 'DesignJIRALeadership', 'Skills']",30+ Days Ago
Culture Engg. - Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Structural Engg. - Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Electronics and Comm. Engg. - Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Culture Engg. - Assistant Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Structural Engg. - Assistant Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Electronics and Comm. Engg. - Assistant Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Culture Engg. - Associate Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Structural Engg. - Associate Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Electronics and Comm. Engg. - Associate Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Culture Engg. - Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Structural Engg. - Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Electronics and Comm. Engg. - Professor,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Professor /  Associate Professor /  Assistant Professor /  Lecturer,International Institute of Information Technology,Information Technology,['recordteachingMedicalReimbursementresearch'],30+ Days Ago
Cognitive Science- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Entrepreneurship- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Computational Ontology- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Analytical Economics- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Indian Analytical Traditions- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Mathematics & Statistics- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Building Science- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Computational Linguistics- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Bioinformatics- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Biology- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Physics- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
Computational & Theo. Chemistry- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
GIS Remote Sensing- Lecturer,International Institute of Information Technology,Information Technology,['CounselorMentorTrainerAdvisorEducatorTeaching'],30+ Days Ago
