,source_id,source_name,author,title,description,content
0,,Lifehacker.com,"Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker",How to Keep Track of All the Potential Coronavirus Treatments,"There’s still no cure for the coronavirus, but dozens of drugs and treatments are being tested against it. And you’re not alone if you’ve gotten confused about which ones are mere possibilities and which are widely understood to be useful. The science changes…","Theres still no cure for the coronavirus, but dozens of drugs and treatments are being tested against it. And youre not alone if youve gotten confused about which ones are mere possibilities and whic… [+2342 chars]"
1,,Lifehacker.com,"Kate Dore on Two Cents, shared by Kate Dore to Lifehacker",Don’t Skip These Estate Planning Moves During Coronavirus,"As the coronavirus pandemic sweeps the nation, some are preparing for the worst-case scenario. As AARP reports, attorneys are seeing an uptick in business as Americans rush to prepare estate planning documents—and it’s easy to see why. Fewer than a third of a…","As the coronavirus pandemic sweeps the nation, some are preparing for the worst-case scenario. As AARP reports, attorneys are seeing an uptick in business as Americans rush to prepare estate planning… [+2881 chars]"
2,engadget,Engadget,Mariella Moon,Google will ban coronavirus conspiracy ads to fight misinformation,Google is amping up its fight against coronavirus—related misinformation by banning ads that “[contradict] authoritative scientific consensus” about the pandemic. That means websites and apps can no longer make money from running advertisements promoting debu…,Google is amping up its fight against coronavirus—related misinformation by banning ads that “[contradict] authoritative scientific consensus” about the pandemic. That means websites and apps can no … [+781 chars]
3,engadget,Engadget,Karissa Bell,Facebook has removed 7 million posts for coronavirus misinformation,"If it seems like there’s a lot of misinformation about the coronavirus pandemic on Facebook, that’s because there is: Between April and June, the social network says it removed 7 million posts for spreading harmful misinformation about COVID-19. It added labe…","The company removes posts that spread false claims about cures or treatments for COVID-19, as well as other misinformation health organizations say is dangerous. The company has also taken steps to p… [+1042 chars]"
4,bbc-news,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Trump defends hydroxychloroquine again,The president said the drug is only rejected as a Covid-19 treatment because he suggested it.,"Image copyrightEPA
US President Donald Trump has again defended the use of hydroxychloroquine to ward off coronavirus, contradicting his own public health officials.
He argued the malaria medicatio… [+1774 chars]"
5,wired,Wired,Will Knight,Even the Best AI Models Are No Match for the Coronavirus,"Many so-called “quantitative funds” that mine historical data to make trading decisions fared poorly in March, when stocks fell sharply amid coronavirus fears.","The stock market appears strangely indifferent to Covid-19 these days, but that wasnt true in March, as the scale and breadth of the crisis hit home. By one measure, it was the most volatile month in… [+4170 chars]"
6,,Gizmodo.com,Ed Cara,Why Isn't Summer Stopping the Coronavirus?,"The U.S. is now firmly in the middle of a second peak of the covid-19 pandemic, if still nestled inside its first wave. But given the rapid spread of the coronavirus during a time of the year when many similar diseases tend to lay low, it’s worth exploring: W…","The U.S. is now firmly in the middle of a second peak of the covid-19 pandemic, if still nestled inside its first wave. But given the rapid spread of the coronavirus during a time of the year when ma… [+7446 chars]"
7,,Lifehacker.com,"Meghan Moravcik Walbert on Offspring, shared by Meghan Moravcik Walbert to Lifehacker",Your Kids Can Help With the Nationwide Coin Shortage,"The coronavirus has gifted us many tragedies and inconveniences both large and small this year, and among the latest is one that most of us probably wouldn’t have predicted a few months ago—a nationwide coin shortage.Read more...","The coronavirus has gifted us many tragedies and inconveniences both large and small this year, and among the latest is one that most of us probably wouldnt have predicted a few months agoa nationwid… [+2596 chars]"
8,,Lifehacker.com,Brendan Hesse,"If You Won't Wear a Mask to Stop Coronavirus, How About Surveillance?","Facial recognition technology raises ethical dilemmas and privacy concerns. Is it okay that our phones, computers, and social media apps not only recognize us, but also collect and store data about our faces? These concerns grow as the tech becomes more accur…","Facial recognition technology raises ethical dilemmas and privacy concerns. Is it okay that our phones, computers, and social media apps not only recognize us, but also collect and store data about o… [+1961 chars]"
9,,Lifehacker.com,Elizabeth Yuko,How to Tell if You Can Trust the Latest Coronavirus Headlines,"With so much being written about the COVID-19 pandemic every day, it’s easy to feel overwhelmed by all the sheer amount information available. And given that, it is harder than ever to suss out which ones actually provide quality reporting and are worth payin…","With so much being written about the COVID-19 pandemic every day, its easy to feel overwhelmed by all the sheer amount information available. And given that, it is harder than ever to suss out which … [+4028 chars]"
